Week Of,Mon,Tue,Wed,Thu,Fri
2019 Feb 18 to Feb 22,,2.69,2.69,2.73,2.74
2019 Feb 25 to Mar 1,2.84,2.74,2.89,2.89,3.19
,,,,,
2019 Mar 4 to Mar 8,4.25,3.18,3.18,2.90,2.90
2019 Mar 11 to Mar 15,2.86,2.83,2.87,2.95,2.95
2019 Mar 18 to Mar 22,2.90,2.92,2.86,2.86,2.75
2019 Mar 25 to Mar 29,2.72,2.74,2.69,2.69,2.73
2019 Apr 1 to Apr 5,2.73,2.76,2.74,2.66,2.62
,,,,,
2019 Apr 8 to Apr 12,2.72,2.71,2.72,2.72,2.75
2019 Apr 15 to Apr 19,2.75,2.66,2.55,2.54,
2019 Apr 22 to Apr 26,2.61,2.53,2.53,2.54,2.58
2019 Apr 29 to May 3,2.58,2.59,2.59,2.63,2.59
2019 May 6 to May 10,2.54,2.54,2.64,2.62,2.64
,,,,,
2019 May 13 to May 17,2.71,2.70,2.69,2.62,2.61
2019 May 20 to May 24,2.70,2.73,2.73,2.56,2.60
2019 May 27 to May 31,,2.65,2.69,2.69,2.59
2019 Jun 3 to Jun 7,2.50,2.45,2.45,2.40,2.43
2019 Jun 10 to Jun 14,2.42,2.41,2.43,2.43,2.37
,,,,,
2019 Jun 17 to Jun 21,2.46,2.44,2.43,2.38,2.27
2019 Jun 24 to Jun 28,2.31,2.31,2.34,2.32,2.42
2019 Jul 1 to Jul 5,2.33,2.30,2.29,,
2019 Jul 8 to Jul 12,2.39,2.41,2.49,2.54,2.54
2019 Jul 15 to Jul 19,2.53,2.53,2.44,2.38,2.30
,,,,,
2019 Jul 22 to Jul 26,2.33,2.34,2.33,2.26,2.23
2019 Jul 29 to Aug 2,2.23,2.22,2.28,2.36,2.12
2019 Aug 5 to Aug 9,2.02,2.15,2.18,2.13,2.09
2019 Aug 12 to Aug 16,2.21,2.24,2.22,2.19,2.20
2019 Aug 19 to Aug 23,2.26,2.35,2.31,2.28,2.15
,,,,,
2019 Aug 26 to Aug 30,2.23,2.24,2.24,2.36,2.33
2019 Sep 2 to Sep 6,,2.39,2.48,2.49,2.49
2019 Sep 9 to Sep 13,2.65,2.67,2.63,2.62,2.61
2019 Sep 16 to Sep 20,2.75,2.70,2.72,2.65,2.34
2019 Sep 23 to Sep 27,2.55,2.55,2.54,2.57,2.41
,,,,,
2019 Sep 30 to Oct 4,2.37,2.36,2.36,2.31,2.25
2019 Oct 7 to Oct 11,2.36,,,,
